Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.5514,0.6524,0.542,0.4896,0.3349,0.4479,0.003,0.4651
Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
ECI,0.1563,0.4674,0.1656,0.8938,0.4322,0.2924,0.297,N/A
ECI + Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
KNN (LLM embeddings),0.2609,0.6369,0.3151,0.2883,0.6504,0.331,0.46,0.194
GNN-4F,0.4614,0.8185,0.4559,0.4177,0.8741,0.5022,0.695,0.3273
GNN-11F (BACI+WDI),0.4711,0.8242,0.4724,0.4374,0.8806,0.5085,0.696,0.334
GNN-11F+LLM,0.4786,0.8284,0.4941,0.4485,0.8847,0.5136,0.707,0.3699
GNN-LLM v2 (GAT+Focal),0.4461,0.8155,0.4487,0.4104,0.8738,0.4963,0.684,0.3219
GNN-LLM v2 Unopt,0.3643,0.7753,0.3372,0.3093,0.8443,0.4471,0.477,0.2217
